"author","name","description","code"
"","the 42 melody","Separately discovered by several people on irc.","t*(42&t>>10)"
"bear @ celephais","","","t+(t&t^t>>6)-t*((t>>9)&(t%16?2:6)&t>>9)"
"SthephanShi","Explosions","","(t>>2)*(t>>5)|t>>5"
"SthephanShi","Explosions #2","","(t>>4)*(t>>3)|t>>3"
"SthephanShi","Explosive beat","Obtained from combining the two formulas.","(t>>4)*(t>>3)|t>>(t&4096?3:2)"
"SthephanShi","M-m-multiple explosion beat","","(t>>4)*(t>>2)|t>>(t>>12)%4"
"SthephanShi","Wheezing modem","","100*((t<<2|t>>5|t^63)&(t<<10|t>>11))"
"SthephanShi","Robocop","","(t>>2)*(t&(t&32768?16:24)|t>>(t>>8&28))|t>>2"
"SthephanShi","Robocop with slower tempo","","(t>>2)*(t&(t&32768?16:24)|t>>(t>>8&24))|t>>3"
"SthephanShi","Toy phone","Sounds similar to children's toys.","t*((t>>10|t%16*t>>5)&8*t>>10&18)"
"SthephanShi","Funny voice calling","","t*((t>>10|t%16*t>>5)&8*t>>12&18)"
"SthephanShi","Meowing cat calling","","t*((t>>10|t%16*t>>8)&8*t>>12&18)"
"SthephanShi","Child swings","","t>>9&2*t&10*t|t>>5&6*t"
"SthephanShi","Cat-girl","","17*t|(t>>2)+(t&32768?13:14)*t|t>>3|t>>5"
"SthephanShi","Trance beat","","t>>(t%16?4:6)|t>>(t%128?10:4)"
"SthephanShi","Trance beat #2","","t>>(t%32?4:3)|(t%128?t>>3:t>>3|t>>9)"
"SthephanShi","Psychedelica","","t^t%1001+t^t%1002"
"SthephanShi","Protoss engine","","2*(-t%128|t%130)"
"SthephanShi","Harmonics","","t<<2^t>>4^t<<4&t>>8|t<<1&-t>>4"
"SthephanShi","Bass beat + lead","","15-t%(t&16384?26:29)&t>>4|t<<1&-t>>4"
"SthephanShi","Game level","","t*(2-(1&-t>>11))*(5+(2&t>>14))>>(3&t>>8)|t>>2"
"SthephanShi","Boss level","Slowing down the rhythm to |t>>3... Sounds dangerous!","t*(2-(1&-t>>11))*(5+(2&t>>14))>>(3&t>>8)|t>>3"
"SthephanShi","Boss level #2","Another pattern using the ternary operator. The rhythm is slowed down to |t>>4","t*(t&16384?7:5)*(1+(1&t>>12))>>(3&t>>8)|t>>4"
"SthephanShi","Boss level #3","Changing the coefficients adds harmonics.","t*(t&16384?7:5)*(3+(1&t>>8))>>(3&t>>8)|t>>4"
"SthephanShi","Boss level #4","Complicated rhythm with ternary operator |t>>(t&4096?3:4)","t*(t&16384?7:5)*(4-(1&t>>8))>>(3&t>>8)|t>>(t&4096?3:4)"
"SthephanShi","Aliens on approach","Slowing down the explosions to 3&t>>9, get a heavy beat.","t*(t&16384?6:5)*(3-(1&t>>8))>>(3&t>>9)|t>>4"
"SthephanShi","Aliens are close","t>>5 rhythm","t*(t&16384?6:5)*(3+(1&t>>8))>>(3&t>>9)|t>>5"
"SthephanShi","Aliens are here","t>>6 gives SUPER POWERFUL ECHOES.","t*(t&16384?6:5)*(4-(1&t>>8))>>(3&t>>9)|t>>6"
"SthephanShi","Mysterious inverted sound","","t*(t&16384?6:5)*(4-(1&t>>8))>>(3&-t>>9)|t>>6"
"SthephanShi","Aliens attack","Complicated (t|t*3)>>5 rhythm with explosive drums.","t*(t&16384?6:5)*(4-(1&t>>8))>>(3&t>>9)|(t|t*3)>>5"
"SthephanShi","Aliens encounter","Making a ternary rhythm gives an EXTRA HARD BEAT!","t*(t&16384?6:5)*(4-(1&t>>8))>>(3&t>>9)|t>>(t&4096?3:4)"
"SthephanShi","Funny inverted sound","","t*(t&16384?6:5)*(3+(3&t>>7))>>(3&t>>9)|t>>(t&4096?3:4)"
"SthephanShi","Prepare to fight","Long period, sound is changing from low to high.","2*t*(t&16384?6:5)*(4-(3&t>>8))>>(3&-t>>15)|t>>(t&4096?3:4)"
"SthephanShi","Aliens encounter + drums","Replacing 3&t>>9 with 3&t>>2 in ""Aliens encounter"" gives a noise sound. This is an excellent instrument for drums, we use it in a ternary 3&t>>(t&4096?2:9)","t*(t&16384?6:5)*(4-(1&t>>8))>>(3&t>>(t&4096?2:9))|t>>(t&4096?3:4)"
"SthephanShi","Prepare to fight + drums","","2*t*(t&16384?6:5)*(4-(3&t>>8))>>(3&-t>>(t&4096?2:15))|t>>(t&4096?3:4)"
"SthephanShi","Ready to fight?","More complex ternary operators to create cool drums.","2*t*(t&16384?6:5)*(4-(3&t>>8))>>(3&-t>>(t&4096?2:15))|t>>(t&8192?t&4096?4:5:3)"
"SthephanShi","Hard level","My favorite formula!","t*(t&16384?7:5)*(5-(3&t>>8))>>(3&-t>>(t&4096?2:16))|t>>(t&16384?t&4096?3:4:3)"
"SthephanShi","Boss level #5","With (1+(3&t>>10)) expression and t>>2 rhythm.","t*(t&16384?7:5)*(1+(3&t>>10))>>(3&t>>8)|t>>2"
"SthephanShi","Another level","Adding a noise beat by using ternary operator.","t*(t&16384?6:5)*(1+(3&t>>(t&2048?4:10)))>>(3&t>>8)|t>>2"
"SthephanShi","Happy level","slightly modified. The sound changes to a more cartoony sound.","t*(t&16384?6:5)*(2+(3&t>>(t&2048?4:9)))>>(3&t>>8)|t>>2"
"SthephanShi","Happy level #2","Inverted 3&-t>>8 gives more happy tune :)","t*(t&16384?6:5)*(2+(3&t>>9))>>(3&-t>>8)|t>>4"
"SthephanShi","Happy level #3","3&-t>>9 gives nice harmonics.","t*(t&16384?6:5)*(2+(3&-t>>9))>>(3&t>>8)|t>>4"
"SthephanShi","Awesome level","We can get a cool cartoon-game melody!","t*(t&16384?6:5)*(3+(3&t>>(t&2048?7:14)))>>(3&t>>9)|t>>2"
"SthephanShi","Awesome level with slower rhythm","","t*(t&16384?6:5)*(3+(3&t>>(t&2048?7:14)))>>(3&t>>9)|t>>3"
"SthephanShi","Awesome level #2","The next awesome level!","t*(t&16384?6:5)*(5-(3&t>>(t&4096?7:14)))>>(3&t>>9)|t>>3"
"SthephanShi","Alien dungeon","So sinister.. t>>6 gives a fading effect.","t*(t&16384?7:5)*(3+(3&t>>14))>>(3&t>>9)|t>>6"
"SthephanShi","Boss level #6","","t*((t&4096?6:16)+(1&t>>14))>>(3&t>>8)|t>>(t&4096?3:4)"
